排名,BRAND,MODEL,總分,price_分數,Core_Count_分數,Threads_分數,Base_Clock(GHz)_分數,Turbo_Clock(GHz)_分數,Cache_分數,Performance / Computing_Power_分數,Power_Consumption_分數
1,Intel,Xeon W5-3435X,9712.9225,9696.275,2.3000000000000003,4.6000000000000005,0.059999999999999935,0.03750000000000008,9.450000000000001,0.10000000000000002,0.10000000000000002
2,AMD,Ryzen TR PRO 9955WX,9712.892500000002,9696.275,2.3000000000000003,4.6000000000000005,0.030000000000000023,0.03750000000000008,9.450000000000001,0.10000000000000002,0.10000000000000002
3,Intel,Xeon W7-3465X,9712.822499999998,9696.275,2.3000000000000003,4.6000000000000005,0.060000000000000046,0.03750000000000008,9.450000000000001,0.05000000000000004,0.05000000000000004
4,AMD,Ryzen TR 9960X,9712.822499999998,9696.275,2.3000000000000003,4.6000000000000005,0.060000000000000046,0.03750000000000008,9.450000000000001,0.05000000000000004,0.05000000000000004
5,AMD,Ryzen TR 9980X,9712.822499999998,9696.275,2.3000000000000003,4.6000000000000005,0.060000000000000046,0.03750000000000008,9.450000000000001,0.05000000000000004,0.05000000000000004
6,AMD,Ryzen TR 9970X,9712.822499999998,9696.275,2.3000000000000003,4.6000000000000005,0.060000000000000046,0.03750000000000008,9.450000000000001,0.05000000000000004,0.05000000000000004
7,AMD,Ryzen TR PRO 9965WX,9712.822499999998,9696.275,2.3000000000000003,4.6000000000000005,0.060000000000000046,0.03750000000000008,9.450000000000001,0.05000000000000004,0.05000000000000004
8,AMD,Ryzen TR PRO 9975WX,9712.822499999998,9696.275,2.3000000000000003,4.6000000000000005,0.060000000000000046,0.03750000000000008,9.450000000000001,0.05000000000000004,0.05000000000000004
9,AMD,Ryzen TR PRO 9985WX,9712.822499999995,9696.274999999996,2.3000000000000003,4.6000000000000005,0.060000000000000046,0.03750000000000008,9.450000000000001,0.05000000000000004,0.05000000000000004
10,Intel,Xeon W9-3475X,9712.804999999998,9696.275,2.3000000000000003,4.6000000000000005,0.04250000000000003,0.03750000000000008,9.450000000000001,0.05000000000000004,0.05000000000000004
11,Intel,Xeon W7-2475X,9712.135,9696.275,2.3000000000000003,4.6000000000000005,0.059999999999999935,0.03750000000000008,8.6625,0.10000000000000002,0.10000000000000002
12,Intel,Xeon W5-2465X,9711.66625,9696.275,2.3000000000000003,4.6000000000000005,0.059999999999999935,0.03750000000000008,8.19375,0.10000000000000002,0.10000000000000002
13,Intel,Xeon W5-2455X,9187.734999999999,9173.262499999999,2.15,4.3,0.060000000000000046,0.03750000000000008,7.7250000000000005,0.09999999999999996,0.09999999999999996
14,AMD,R9 9950X3D,7471.08625,7454.512499999999,2.3000000000000003,4.6000000000000005,0.05500000000000004,0.01875000000000004,9.450000000000001,0.05000000000000004,0.10000000000000002
