排名,BRAND,MODEL,總分,Price_分數,CL_分數,Performance_分數,Stability_分數,Capacity_分數,Speed_分數
1,芝奇 G5,192G(48G*4),-912.2080000000001,-914.4000000000001,1.6959999999999997,0.04799999999999997,0.12799999999999997,0.16,0.16
2,芝奇 G5 NEO,192G(48G*4),-912.2080000000001,-914.4000000000001,1.6959999999999997,0.04799999999999997,0.12799999999999997,0.16,0.16
3,UMAX,8GB,-915.96,-918.2,1.6960000000000002,0.09599999999999995,0.12799999999999997,0.16,0.16
4,金士頓 NB,4GB,-935.0080000000002,-936.4000000000001,0.8480000000000001,0.09599999999999995,0.12800000000000006,0.16,0.16
5,美光 Micron Crucial,8GB,-935.96,-938.2,1.6960000000000002,0.09599999999999995,0.12799999999999997,0.16,0.16
6,UMAX,單條8GB,-954.1600000000001,-956.4000000000001,1.695999999999999,0.09599999999999995,0.12799999999999997,0.16,0.16
7,UMAX NB,8GB,-955.0080000000002,-956.4000000000001,0.8480000000000001,0.09599999999999995,0.12799999999999997,0.16,0.16
8,威剛 NB,8GB,-955.96,-958.2,1.6960000000000002,0.09599999999999995,0.12799999999999997,0.16,0.16
9,威剛,8GB,-976.008,-978.2,1.6480000000000001,0.09599999999999995,0.12799999999999997,0.16,0.16
10,威剛,單條8GB,-995.96,-998.2,1.695999999999999,0.09599999999999995,0.12799999999999997,0.16,0.16
11,UMAX,16GB,-1002.2080000000001,-1004.4000000000001,1.6480000000000001,0.09599999999999995,0.12799999999999997,0.16,0.16
12,金士頓 NB,8GB,-1037.008,-1038.4,0.8480000000000001,0.09599999999999995,0.12800000000000006,0.16,0.16
13,KLEVV(科賦),16GB,-1042.16,-1044.4,1.6960000000000002,0.09599999999999995,0.12799999999999997,0.16,0.16
14,UMAX NB,16GB,-1046.16,-1048.4,1.6960000000000002,0.09599999999999995,0.12799999999999997,0.16,0.16
15,UMAX,16GB(雙通8GB*2),-1046.208,-1048.4,1.6480000000000001,0.09599999999999995,0.12799999999999997,0.16,0.16
16,KLEVV(科賦),單條16GB,-1056.16,-1058.4,1.695999999999999,0.09599999999999995,0.12799999999999997,0.16,0.16
17,UMAX,16GB(雙通道8G*2),-1073.008,-1074.4,0.8480000000000001,0.09599999999999995,0.12799999999999997,0.16,0.16
18,威剛 NB,16GB,-1075.96,-1078.2,1.6960000000000002,0.09599999999999995,0.12799999999999997,0.16,0.16
19,威剛XPG,單條16GB,-1085.96,-1088.2,1.695999999999999,0.09599999999999995,0.12799999999999997,0.16,0.16
20,十銓 T-Create Expert 引領者散熱片系列,16GB(雙通8GB*2),-1086.008,-1088.2,1.6480000000000001,0.09599999999999995,0.12799999999999997,0.16,0.16
21,十銓ELITE,16GB,-1086.16,-1088.4,1.6960000000000002,0.09599999999999995,0.12799999999999997,0.16,0.16
22,威剛,單條16GB,-1095.96,-1098.2,1.695999999999999,0.09599999999999995,0.12799999999999997,0.16,0.16
23,威剛,16GB,-1096.008,-1098.2,1.6480000000000001,0.09599999999999995,0.12799999999999997,0.16,0.16
24,美光 Micron Crucial,單條16GB,-1115.96,-1118.2,1.695999999999999,0.09599999999999995,0.12800000000000006,0.16,0.16
25,威剛,16GB(雙通8GB*2),-1116.008,-1118.2,1.6480000000000001,0.09599999999999995,0.12799999999999997,0.16,0.16
26,十銓 T-Force Delta 炫光RGB系列,16GB(雙通8GB*2),-1116.008,-1118.2,1.6960000000000002,0.04799999999999997,0.12799999999999997,0.16,0.16
27,UMAX,單條16GB,-1132.208,-1134.4,1.6959999999999997,0.04799999999999997,0.12799999999999997,0.16,0.16
28,金士頓 NB,16GB,-1156.16,-1158.4,1.6960000000000002,0.09599999999999995,0.12800000000000006,0.16,0.16
29,金士頓,16GB(雙通8GB*2),-1166.208,-1168.4,1.6480000000000001,0.09599999999999995,0.12799999999999997,0.16,0.16
