排名,BRAND,MODEL,總分,price_分數,white_分數,black_分數,RGB light_分數,Max_RPM_分數,Noise_Level_分數
1,華碩,ROG STRIX XF120,430.37500000000006,430.0333333333334,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.16666666666666666,0.125
2,振華,MEGACOOL,430.33333333333337,430.0333333333334,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.16666666666666666,0.08333333333333333
3,華碩,TUF Gaming TR120 ARGB(黑) 風扇,430.33333333333337,430.0333333333334,0.016666666666666666,0.016666666666666663,0.016666666666666663,0.16666666666666666,0.08333333333333333
4,華碩,TUF Gaming TR120 ARGB(白) 風扇,430.33333333333337,430.0333333333334,0.016666666666666663,0.016666666666666666,0.016666666666666663,0.16666666666666666,0.08333333333333333
5,華碩,TUF Gaming TR120 ARGB(黑) 反向扇,430.33333333333337,430.0333333333334,0.016666666666666666,0.016666666666666663,0.016666666666666663,0.16666666666666666,0.08333333333333333
6,華碩,TUF Gaming TR120 ARGB(白) 反向扇,430.33333333333337,430.0333333333334,0.016666666666666663,0.016666666666666666,0.016666666666666663,0.16666666666666666,0.08333333333333333
7,威剛,XPG VENTO PRO 120 PWM 風扇,430.33333333333337,430.0333333333334,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.16666666666666666,0.08333333333333333
8,Phanteks,D30-120 D-RGB 黑 12cm 風扇(Regular) 三顆裝,430.33333333333337,430.0333333333334,0.016666666666666666,0.016666666666666663,0.016666666666666663,0.16666666666666666,0.08333333333333333
9,Phanteks,D30-120 D-RGB 白 12cm 風扇(Regular) 三顆裝,430.33333333333337,430.0333333333334,0.016666666666666663,0.016666666666666666,0.016666666666666663,0.16666666666666666,0.08333333333333333
10,Phanteks,D30-120 D-RGB 黑 12cm 反向扇(Reversed) 三顆裝,430.33333333333337,430.0333333333334,0.016666666666666666,0.016666666666666663,0.016666666666666663,0.16666666666666666,0.08333333333333333
11,Phanteks,D30-120 D-RGB 白 12cm 反向扇(Reversed) 三顆裝,430.33333333333337,430.0333333333334,0.016666666666666663,0.016666666666666666,0.016666666666666663,0.16666666666666666,0.08333333333333333
12,Phanteks,D30-140 D-RGB 黑 14cm 風扇(Regular) 三顆裝,430.33333333333337,430.0333333333334,0.016666666666666666,0.016666666666666663,0.016666666666666663,0.16666666666666666,0.08333333333333333
13,Phanteks,D30-140 D-RGB 白 14cm 風扇(Regular) 三顆裝,430.33333333333337,430.0333333333334,0.016666666666666663,0.016666666666666666,0.016666666666666663,0.16666666666666666,0.08333333333333333
14,Phanteks,D30-140 D-RGB 黑 14cm 反向扇(Reversed) 三顆裝,430.33333333333337,430.0333333333334,0.016666666666666666,0.016666666666666663,0.016666666666666663,0.16666666666666666,0.08333333333333333
15,Phanteks,D30-140 D-RGB 白 14cm 反向扇(Reversed) 三顆裝,430.33333333333337,430.0333333333334,0.016666666666666663,0.016666666666666666,0.016666666666666663,0.16666666666666666,0.08333333333333333
16,Phanteks,T30 三顆裝,430.33333333333337,430.0333333333334,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.16666666666666666,0.08333333333333333
17,darkFlash,GAUSS G24黑,430.33333333333337,430.0333333333334,0.016666666666666666,0.016666666666666663,0.016666666666666663,0.16666666666666666,0.08333333333333333
18,darkFlash,GAUSS G24白,430.33333333333337,430.0333333333334,0.016666666666666663,0.016666666666666666,0.016666666666666663,0.16666666666666666,0.08333333333333333
19,darkFlash,GAUSS G24R 黑,430.33333333333337,430.0333333333334,0.016666666666666666,0.016666666666666663,0.016666666666666663,0.16666666666666666,0.08333333333333333
20,darkFlash,GAUSS G24R 白,430.33333333333337,430.0333333333334,0.016666666666666663,0.016666666666666666,0.016666666666666663,0.16666666666666666,0.08333333333333333
21,Scythe,Grand Tornado 120 龍風丸 2000,430.33333333333337,430.0333333333334,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.16666666666666666,0.08333333333333333
22,Scythe,Grand Tornado 120 龍風丸 3000,430.33333333333337,430.0333333333334,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.16666666666666666,0.08333333333333333
23,聯力,UNI FAN SL-INF 120 積木扇(黑) 12cm,430.33333333333337,430.0333333333334,0.016666666666666666,0.016666666666666663,0.016666666666666663,0.16666666666666666,0.08333333333333333
24,聯力,UNI FAN SL-INF 120 積木扇(白) 12cm,430.33333333333337,430.0333333333334,0.016666666666666663,0.016666666666666666,0.016666666666666663,0.16666666666666666,0.08333333333333333
25,聯力,UNI FAN SL Wireless 120 反向扇(黑) 三顆裝+控制器,430.33333333333337,430.0333333333334,0.016666666666666666,0.016666666666666663,0.016666666666666666,0.16666666666666666,0.08333333333333333
26,聯力,UNI FAN SL Wireless 120 反向扇(白) 三顆裝+控制器,430.33333333333337,430.0333333333334,0.016666666666666663,0.016666666666666666,0.016666666666666666,0.16666666666666666,0.08333333333333333
27,聯力,UNI FAN SL Wireless LCD 120 反向扇(黑) 三顆裝+控制器,430.33333333333337,430.0333333333334,0.016666666666666666,0.016666666666666663,0.016666666666666666,0.16666666666666666,0.08333333333333333
28,聯力,UNI FAN SL Wireless LCD 120 反向扇(白) 三顆裝+控制器,430.33333333333337,430.0333333333334,0.016666666666666663,0.016666666666666666,0.016666666666666666,0.16666666666666666,0.08333333333333333
29,聯力,UNI FAN TL Wireless 120 反向扇(黑) 三顆裝+控制器,430.33333333333337,430.0333333333334,0.016666666666666666,0.016666666666666663,0.016666666666666666,0.16666666666666666,0.08333333333333333
30,聯力,UNI FAN TL Wireless 120 反向扇(白) 三顆裝+控制器,430.33333333333337,430.0333333333334,0.016666666666666663,0.016666666666666666,0.016666666666666666,0.16666666666666666,0.08333333333333333
