排名,BRAND,MODEL,Detail,總分,Price_分數,Capacity_分數,Cache_Size_分數,RPM_分數,Warranty_分數,Series_Tier_分數,CMR / SMR_分數,Reliability_分數,Performance_分數,Noise & Power_分數
1,WD,1TB【藍標】,(64M/7200轉/三年保)(WD10EZEX),-428.5457778,-452,0.257777778,6.826666667,16,0.053333333,0.005333333,0.088888889,0.088888889,0.066666667,0.066666667
2,Toshiba,1TB,(256M/5400轉/三年保)(WD40EZAX),-432.008,-452,0.257777778,3.413333333,16,0.026666667,0.005333333,0.088888889,0.088888889,0.044444444,0.066666667
3,Seagate,30TB【EXOS企業碟】,(512M/7200轉/三年保)(WD100EAGZ),-432.0524444,-452,0.257777778,3.413333333,16,0.026666667,0.005333333,0.088888889,0.044444444,0.044444444,0.066666667
4,Seagate,30TB【那嘶狼PRO】,256M/7200轉/五年保(WD8002PURP),-452.008,-472,0.257777778,3.413333333,16,0.026666667,0.005333333,0.088888889,0.088888889,0.044444444,0.066666667
5,Toshiba,2TB【P300系列】,64M/5400轉/三年保(WD20EFPX),-476.4568889,-500,0.346666667,6.826666667,16,0.053333333,0.005333333,0.088888889,0.088888889,0.066666667,0.066666667
6,Toshiba,2TB【S300系列】【監控碟】,256M/5640轉/三年保(WD80EFPX),-491.8924444,-512,0.346666667,3.413333333,16,0.053333333,0.005333333,0.088888889,0.088888889,0.044444444,0.066666667
7,WD,2TB【紅標Plus】,256M/7200轉/三年保(WD101EFBX),-628.496,-652,0.346666667,6.826666667,16,0.053333333,0.010666667,0.088888889,0.066666667,0.044444444,0.066666667
8,Toshiba,2TB,512M/7200轉/三年保(WD100EFGX),-671.9191111,-692,0.346666667,3.413333333,16,0.026666667,0.005333333,0.088888889,0.088888889,0.044444444,0.066666667
9,Seagate,2TB【新梭魚】,256M/7200轉/三年保(WD120EFBX),-691.9191111,-712,0.346666667,3.413333333,16,0.026666667,0.005333333,0.088888889,0.088888889,0.044444444,0.066666667
10,Toshiba,4TB【P300系列】,256MB/7200轉(0B47078),-711.7235556,-732,0.515555556,3.413333333,16,0.053333333,0.005333333,0.088888889,0.088888889,0.044444444,0.066666667
11,Seagate,4TB【新梭魚】,512MB/7200轉(WUH722020BLE6L4),-716.3102222,-740,0.515555556,6.826666667,16,0.053333333,0.005333333,0.088888889,0.088888889,0.044444444,0.066666667
12,Toshiba,4TB【S300系列】【監控碟】,512MB/7200轉(0F65684),-728.3102222,-752,0.515555556,6.826666667,16,0.053333333,0.005333333,0.088888889,0.088888889,0.044444444,0.066666667
13,Seagate,28TB【那嘶狼PRO】,256MB/7200轉/五年保(WD8005FRYZ),-791.8302222,-812,0.435555556,3.413333333,16,0.026666667,0.005333333,0.088888889,0.088888889,0.044444444,0.066666667
14,WD,4TB【藍標】,512MB/7200轉/五年保(WD103KRYZ),-816.3102222,-840,0.515555556,6.826666667,16,0.053333333,0.005333333,0.088888889,0.088888889,0.044444444,0.066666667
15,Seagate,4TB【那嘶狼】,512MB/7200轉/五年保(WD122KRYZ),-828.3102222,-852,0.515555556,6.826666667,16,0.053333333,0.005333333,0.088888889,0.088888889,0.044444444,0.066666667
16,WD,8TB【紅標Plus】,512MB/7200轉/五年保(WD161KRYZ),-864.3048889,-904,0.515555556,6.826666667,32,0.053333333,0.010666667,0.088888889,0.066666667,0.066666667,0.066666667
17,Seagate,8TB【新梭魚】,(256M/7200轉/三年保)(HDW D320UZSVA),-880.3102222,-904,0.515555556,6.826666667,16,0.053333333,0.005333333,0.088888889,0.088888889,0.044444444,0.066666667
18,Seagate,6TB【那嘶狼】,(128M/5400轉/三年保)(HDW D240UZSVA),-880.3102222,-904,0.515555556,6.826666667,16,0.053333333,0.005333333,0.088888889,0.088888889,0.044444444,0.066666667
19,Seagate,8TB【那嘶狼】,128MB/5400轉/三年保(HDWT720UZSVA),-880.3102222,-904,0.515555556,6.826666667,16,0.053333333,0.005333333,0.088888889,0.088888889,0.044444444,0.066666667
20,Seagate,10TB【那嘶狼】,256MB/5400轉/三年保(HDWT840UZSVA),-880.3102222,-904,0.515555556,6.826666667,16,0.053333333,0.005333333,0.088888889,0.088888889,0.044444444,0.066666667
21,Seagate,12TB【那嘶狼】,512MB/7200轉/五年保(HDWTA40UZSVA),-880.3102222,-904,0.515555556,6.826666667,16,0.053333333,0.005333333,0.088888889,0.088888889,0.044444444,0.066666667
22,WD,12TB【紅標Plus】,512MB/7200轉/五年保(HDWTA60UZSVA),-880.3271111,-904,0.515555556,6.826666667,16,0.053333333,0.010666667,0.088888889,0.066666667,0.044444444,0.066666667
