排名,BRAND,MODEL,detail,總分,price_分數,white_分數,black_分數,RGB light_分數,Product_Type_分數,Compatibility_FormFactor_分數,Dual_Sided_Support_分數,Cooling_Performance_分數,Compatibility_分數
1,九州風神,ASSASSIN IV VC VISION,TYPE A B SSD 固態硬碟散熱片/鋁合金/單雙面皆適用,113.8611111,113.3555556,0.011111111,0.011111111,0.011111111,0.111111111,0.111111111,0.111111111,0.083333333,0.055555556
2,九州風神,ASSASSIN VC ELITE WH(白),SSD 固態硬碟散熱片/鋁合金+8 mm純銅導管/單雙面皆適用,113.8611111,113.3555556,0.011111111,0.011111111,0.011111111,0.111111111,0.111111111,0.111111111,0.083333333,0.055555556
3,貓頭鷹,NH-U12A,6mm熱導管/電鍍鰭片/單雙面皆適用,113.8611111,113.3555556,0.011111111,0.011111111,0.011111111,0.111111111,0.111111111,0.111111111,0.083333333,0.055555556
4,貓頭鷹,NH-U12A chromax.black,4導管/3CM PWM風扇/單雙面皆適用/一年,113.8611111,113.3555556,0.011111111,0.011111111,0.011111111,0.111111111,0.111111111,0.111111111,0.083333333,0.055555556
5,貓頭鷹,NH-D15S chromax.black,"4導管/溫度,傳輸速度監控/3cm風扇/一年",113.8611111,113.3555556,0.011111111,0.011111111,0.011111111,0.111111111,0.111111111,0.111111111,0.083333333,0.055555556
6,貓頭鷹,NH-D15,"4導管/溫度,傳輸速度監控/3cm風扇/一年",113.8611111,113.3555556,0.011111111,0.011111111,0.011111111,0.111111111,0.111111111,0.111111111,0.083333333,0.055555556
7,貓頭鷹,NH-D15chromax.black,2280/鋁合金/單雙面皆適用,113.8611111,113.3555556,0.011111111,0.011111111,0.011111111,0.111111111,0.111111111,0.111111111,0.083333333,0.055555556
8,利民,HR-10 2280 PRO DIGITAL(黑) SSD散熱器,高度15.6/FDB軸 28mm風壓扇【WXHZ】,113.8611111,113.3555556,0.011111111,0.011111111,0.011111111,0.111111111,0.111111111,0.111111111,0.083333333,0.055555556
9,利民,HR-10 2280 PRO DIGITAL(白) SSD散熱器,高度15.6/FDB軸 28mm風壓扇【WXHZ】,113.8611111,113.3555556,0.011111111,0.011111111,0.011111111,0.111111111,0.111111111,0.111111111,0.083333333,0.055555556
10,ID-COOLING,IS-40X,6導管/高度15.3/雙塔雙扇/TDP:270W【WXHZ】,113.8611111,113.3555556,0.011111111,0.011111111,0.011111111,0.111111111,0.111111111,0.111111111,0.083333333,0.055555556
11,ID-COOLING,IS-50X,6導管/高15.8/雙塔雙扇/全黑化/ARGB鋁質上蓋【WXHZ】,113.8611111,113.3555556,0.011111111,0.011111111,0.011111111,0.111111111,0.111111111,0.111111111,0.083333333,0.055555556
12,ID-COOLING,SE-206-XT WHITE,散熱器 下吹式/4導管/高4.5/全黑化/TDP:100W【WXHZ】,113.8611111,113.3555556,0.011111111,0.011111111,0.011111111,0.111111111,0.111111111,0.111111111,0.083333333,0.055555556
13,ID-COOLING,FROZN A410,散熱器 下吹式/5導管/高5.5/全黑化/TDP:105W【WXHZ】,113.8611111,113.3555556,0.011111111,0.011111111,0.011111111,0.111111111,0.111111111,0.111111111,0.083333333,0.055555556
14,ID-COOLING,FROZN A620,4導管/高15/TDP:180W【WXHZ】,113.8611111,113.3555556,0.011111111,0.011111111,0.011111111,0.111111111,0.111111111,0.111111111,0.083333333,0.055555556
15,ID-COOLING,FROZN A620 PRO SE ARGB 黑,6導管/雙塔雙扇/高15.3/白化版/TDP:250W【WXHZ】,113.8611111,113.3555556,0.011111111,0.011111111,0.011111111,0.111111111,0.111111111,0.111111111,0.083333333,0.055555556
16,ID-COOLING,FROZN A620 PRO SE ARGB 白,DK 黑化版/4導管/雙風扇/高15.2/TDP:230W【WXHZ】,113.8611111,113.3555556,0.011111111,0.011111111,0.011111111,0.111111111,0.111111111,0.111111111,0.083333333,0.055555556
17,ID-COOLING,FROZN A610 ARGB 黑,DW 白化版/4導管/雙風扇/高15.2/TDP:230W【WXHZ】,113.8611111,113.3555556,0.011111111,0.011111111,0.011111111,0.111111111,0.111111111,0.111111111,0.083333333,0.055555556
18,ID-COOLING,FROZN A610 ARGB 白,PRO SE /6導管/雙塔雙扇/高15.7/TDP:260W【WXHZ】,113.8611111,113.3555556,0.011111111,0.011111111,0.011111111,0.111111111,0.111111111,0.111111111,0.083333333,0.055555556
19,COUGAR,FORZA 50 ESSENTIAL,6導管/雙塔雙扇/高15.7【WXHZ】,113.8611111,113.3555556,0.011111111,0.011111111,0.011111111,0.111111111,0.111111111,0.111111111,0.083333333,0.055555556
20,COUGAR,FORZA 85 ESSENTIAL,6導管/雙塔雙扇/高15.7【WXHZ】,113.8611111,113.3555556,0.011111111,0.011111111,0.011111111,0.111111111,0.111111111,0.111111111,0.083333333,0.055555556
21,利民,AXP90-X47 下吹式 4導管(6mm),6導管/高15.5/全黑化/偏移不干涉【WXHZ】,113.8611111,113.3555556,0.011111111,0.011111111,0.011111111,0.111111111,0.111111111,0.111111111,0.083333333,0.055555556
22,利民,AXP90-X47 白化版 下吹式 4導管(6mm),6導管/高15.5/白化版/偏移不干涉【WXHZ】,113.8611111,113.3555556,0.011111111,0.011111111,0.011111111,0.111111111,0.111111111,0.111111111,0.083333333,0.055555556
23,利民,AXP120-X67 下吹式 6導管(6mm),4導管(6mm)/高15.5cm【WXHZ】,113.8611111,113.3555556,0.011111111,0.011111111,0.011111111,0.111111111,0.111111111,0.111111111,0.083333333,0.055555556
24,利民,SI-100 下吹式 6導管(6mm),6導管(6mm)/高16cm/電鍍回流焊【WXHZ】,113.8611111,113.3555556,0.011111111,0.011111111,0.011111111,0.111111111,0.111111111,0.111111111,0.083333333,0.055555556
25,利民,Assassin Spirit 120 V2 Plus 刺靈,6導管(6mm)/高16cm/金屬上蓋/電鍍回流焊【WXHZ】,113.8611111,113.3555556,0.011111111,0.011111111,0.011111111,0.111111111,0.111111111,0.111111111,0.083333333,0.055555556
26,利民,Assassin X 120 R Digital 黑,高4.7cm/AGHP 逆重力導管【WXHZ】,113.8611111,113.3555556,0.011111111,0.011111111,0.011111111,0.111111111,0.111111111,0.111111111,0.083333333,0.055555556
27,利民,Assassin X 120 R Digital 白,高4.7cm/AGHP 逆重力導管【WXHZ】,113.8611111,113.3555556,0.011111111,0.011111111,0.011111111,0.111111111,0.111111111,0.111111111,0.083333333,0.055555556
28,利民,Burst Assassin 120,TL-C12015薄扇/高6.7cm【WXHZ】,113.8611111,113.3555556,0.011111111,0.011111111,0.011111111,0.111111111,0.111111111,0.111111111,0.083333333,0.055555556
29,利民,Burst Assassin 120 ARGB,TL-E12風扇/高10cm/AGHP 逆重力導管【WXHZ】,113.8611111,113.3555556,0.011111111,0.011111111,0.011111111,0.111111111,0.111111111,0.111111111,0.083333333,0.055555556
30,利民,Royal Knight 120,5導管(6mm)/高14.8cm/AGHP 逆重力導管【WXHZ】,113.8611111,113.3555556,0.011111111,0.011111111,0.011111111,0.111111111,0.111111111,0.111111111,0.083333333,0.055555556
31,利民,Peerless Assassin 120 MINI 黑化版,4導管(6mm)/正反向雙扇/高15.4cm【WXHZ】,113.8611111,113.3555556,0.011111111,0.011111111,0.011111111,0.111111111,0.111111111,0.111111111,0.083333333,0.055555556
