排名,BRAND,MODEL,Detail,總分,Price_分數,Power Phase_分數,Form_Factor_分數,LAN_Speed_分數,Chipset_Level_分數,Memory_Upgrade_分數,VRM_Quality_分數,Expansion_Capability_分數
1,華擎,H610M-H2 M.2,(M-ATX/LAN 1Gb/註四年/2DIMM)6+1+1 相電源,-762.6628571,-764,0.822857143,0.114285714,0.114285714,0.114285714,0.057142857,0.057142857,0.057142857
2,華碩,Pro WS W790E-SAGE SE,(M-ATX/1H/LAN 1Gb/註四年/2DIMM) 5相-裝機價,-763.0742857,-764,0.411428571,0.114285714,0.114285714,0.114285714,0.057142857,0.057142857,0.057142857
3,微星,PRO H610M-S DDR4,(M-ATX/LAN 1Gb/註四年/2DIMM)6+1+1 相電源,-782.6628571,-784,0.822857143,0.114285714,0.114285714,0.114285714,0.057142857,0.057142857,0.057142857
4,微星,A520M-A PRO,(M-ATX/LAN 1Gb/註冊四年/2DIMM)6+1+1相供電,-783.0742857,-784,0.411428571,0.114285714,0.114285714,0.114285714,0.057142857,0.057142857,0.057142857
5,技嘉,A520M K V2,(M-ATX/LAN 2.5Gb/註冊四年/2DIMM)6+1相供電,-802.6628571,-804,0.822857143,0.114285714,0.114285714,0.114285714,0.057142857,0.057142857,0.057142857
6,技嘉,H81M-DS2,(M-ATX/LAN 1Gb/註冊四年/4DIMM)8相供電,-803.0742857,-804,0.411428571,0.114285714,0.114285714,0.114285714,0.057142857,0.057142857,0.057142857
7,華碩,PRIME H610M-F D4 R2.0-CSM,(M-ATX/LAN 2.5Gb/註冊四年)14相電源,-822.6628571,-824,0.822857143,0.114285714,0.114285714,0.114285714,0.057142857,0.057142857,0.057142857
8,微星,PRO H610M-E,(M-ATX/LAN 2.5Gb/註四年/2DIMM)8相供電,-862.6628571,-864,0.822857143,0.114285714,0.114285714,0.114285714,0.057142857,0.057142857,0.057142857
9,微星,PRO H610M-E DDR4,(M-ATX/LAN 2.5Gb+無線/註四年/2DIMM)6+1+1相,-862.6628571,-864,0.822857143,0.114285714,0.114285714,0.114285714,0.057142857,0.057142857,0.057142857
10,華碩,PRIME H610M-K D4-CSM,(M-ATX/LAN 2.5Gb+無線/註五年)12+1+1相,-862.6628571,-864,0.822857143,0.114285714,0.114285714,0.114285714,0.057142857,0.057142857,0.057142857
11,華擎,B760M-HDV M.2 D4,(ATX/LAN 2.5Gb/註冊四年)12+1+1相供電,-882.6628571,-884,0.822857143,0.114285714,0.114285714,0.114285714,0.057142857,0.057142857,0.057142857
