排名,BRAND,MODEL,Detail,總分,Price_分數,CL_分數,Performance_分數,Stability_分數,Capacity_分數,Speed_分數
1,芝奇 G5,192G(48G*4),D5-4800/CL40 (AD5U48008G-S) 支援 XMP,-912.208,-914.4,1.696,0.048,0.128,0.16,0.16
2,芝奇 G5 NEO,192G(48G*4),D5-5600/CL46 (AD5U56008G-S)雙參,-912.208,-914.4,1.696,0.048,0.128,0.16,0.16
3,UMAX,8GB,D5-4800/CL40 (AD5U480016G-S) 支援 XMP,-915.96,-918.2,1.696,0.096,0.128,0.16,0.16
4,金士頓 NB,4GB,D5-5600/CL46 (AD5U560016G-S)雙參,-935.008,-936.4,0.848,0.096,0.128,0.16,0.16
5,美光 Micron Crucial,8GB,D5-5600/CL46 LancerBlade矮 黑(AX5U5600C4616G-SLABBK)雙參,-935.96,-938.2,1.696,0.096,0.128,0.16,0.16
6,UMAX,單條8GB,D5-6000/CL48 LancerBlade矮 黑(AX5U6000C4816G-SLABBK)雙參,-954.16,-956.4,1.696,0.096,0.128,0.16,0.16
7,UMAX NB,8GB,D5-4800/CL40 (AD5U480032G-S) 支援 XMP,-955.008,-956.4,0.848,0.096,0.128,0.16,0.16
8,威剛 NB,8GB,D5-5600/CL46 (AD5U560032G-S)雙參,-955.96,-958.2,1.696,0.096,0.128,0.16,0.16
9,威剛,8GB,DDR5-5600/CL46 【雙參數】,-976.008,-978.2,1.648,0.096,0.128,0.16,0.16
10,威剛,單條8GB,DDR5-5600(CL36) FURY Beast (獸獵者)【雙參數】,-995.96,-998.2,1.696,0.096,0.128,0.16,0.16
11,UMAX,16GB,DDR5-6000(CL30) FURY Beast Black (獸獵者)【雙參數】,-1002.208,-1004.4,1.648,0.096,0.128,0.16,0.16
12,金士頓 NB,8GB,DDR5-5600/CL46 【雙參數】,-1037.008,-1038.4,0.848,0.096,0.128,0.16,0.16
13,KLEVV(科賦),16GB,DDR5 5600/CL46 (原生顆粒)【雙參數】,-1042.16,-1044.4,1.696,0.096,0.128,0.16,0.16
14,UMAX NB,16GB,DDR5 5600/CL46 (原生顆粒)【雙參數】,-1046.16,-1048.4,1.696,0.096,0.128,0.16,0.16
15,UMAX,16GB(雙通8GB*2),DDR5 4800/CL40 含散熱片 支援 XMP,-1046.208,-1048.4,1.648,0.096,0.128,0.16,0.16
16,KLEVV(科賦),單條16GB,DDR5 4800/CL40 含散熱片 支援 XMP,-1056.16,-1058.4,1.696,0.096,0.128,0.16,0.16
17,UMAX,16GB(雙通道8G*2),DDR5 5600/CL46 含散熱片【雙參數】,-1073.008,-1074.4,0.848,0.096,0.128,0.16,0.16
18,威剛 NB,16GB,DDR5 5600/CL46 含散熱片【雙參數】,-1075.96,-1078.2,1.696,0.096,0.128,0.16,0.16
19,威剛XPG,單條16GB,DDR5 6000/CL30 含散熱片【雙參數】,-1085.96,-1088.2,1.696,0.096,0.128,0.16,0.16
20,十銓 T-Create Expert 引領者散熱片系列,16GB(雙通8GB*2),DDR5 5600/CL46 含散熱片【雙參數】,-1086.008,-1088.2,1.648,0.096,0.128,0.16,0.16
21,十銓ELITE,16GB,DDR5 6000/CL30 含散熱片【雙參數】,-1086.16,-1088.4,1.696,0.096,0.128,0.16,0.16
22,威剛,單條16GB,D5-5600/CL46 LancerBlade矮 黑(AX5U5600C4616G-DTLABBK)雙參,-1095.96,-1098.2,1.696,0.096,0.128,0.16,0.16
23,威剛,16GB,D5-5600/CL46 LancerBlade矮 白(AX5U5600C4616G-DTLABWH)雙參,-1096.008,-1098.2,1.648,0.096,0.128,0.16,0.16
24,美光 Micron Crucial,單條16GB,D5-6000/CL48 LancerBlade矮 黑(AX5U6000C4816G-DTLABBK)雙參,-1115.96,-1118.2,1.696,0.096,0.128,0.16,0.16
25,威剛,16GB(雙通8GB*2),D5-6000/CL48 LancerBlade矮 白(AX5U6000C4816G-DTLABWH)雙參,-1116.008,-1118.2,1.648,0.096,0.128,0.16,0.16
26,十銓 T-Force Delta 炫光RGB系列,16GB(雙通8GB*2),D5-6000/CL36 LancerBlade矮 黑(AX5U6000C3616G-DTLABBK)雙參,-1116.008,-1118.2,1.696,0.048,0.128,0.16,0.16
27,UMAX,單條16GB,D5-6000/CL36 LancerBlade矮 白(AX5U6000C3616G-DTLABWH)雙參,-1132.208,-1134.4,1.696,0.048,0.128,0.16,0.16
28,金士頓 NB,16GB,D5-6000/CL30 LancerBlade矮 黑(AX5U6000C3016G-DTLABBK)雙參,-1156.16,-1158.4,1.696,0.096,0.128,0.16,0.16
29,金士頓,16GB(雙通8GB*2),D5-6000/CL30 LancerBlade矮 白(AX5U6000C3016G-DTLABWH)雙參,-1166.208,-1168.4,1.648,0.096,0.128,0.16,0.16
30,金士頓,單條16GB,D5-6000/CL28 LancerBlade矮 黑(AX5U6000C2816G-DTLABBK)雙參,-1206.208,-1208.4,1.696,0.048,0.128,0.16,0.16
31,芝奇 G.SKILL 幻光戟,16GB(雙通8GB*2),D5-6000/CL28 LancerBlade矮 白(AX5U6000C2816G-DTLABWH)雙參,-1236.208,-1238.4,1.648,0.096,0.128,0.16,0.16
32,UMAX NB,32GB,D5-6000/CL36 LancerBlade矮RGB黑(AX5U6000C3616G-DTLABRBK)雙參,-1246.16,-1248.4,1.696,0.096,0.128,0.16,0.16
33,UMAX,32GB(雙通16GB*2),D5-6000/CL36 LancerBlade矮RGB白(AX5U6000C3616G-DTLABRWH)雙參,-1266.208,-1268.4,1.648,0.096,0.128,0.16,0.16
34,威剛,單條32GB,D5-6000/CL30 LancerBlade矮RGB黑(AX5U6000C3016G-DTLABRBK)雙參,-1335.96,-1338.2,1.696,0.096,0.128,0.16,0.16
35,威剛 NB,32GB,D5-6000/CL30 LancerBlade矮RGB白AX5U6000C3016G-DTLABRWH雙參,-1335.96,-1338.2,1.696,0.096,0.128,0.16,0.16
36,威剛,32GB,D5-6000/CL28 LancerBlade矮RGB黑(AX5U6000C2816G-DTLABRBK)雙參,-1349.96,-1352.2,1.696,0.096,0.128,0.16,0.16
37,美光 Micron Crucial PRO 超頻,32GB(雙通16GB*2),D5-6000/CL28 LancerBlade矮RGB白AX5U6000C2816G-DTLABRWH雙參,-1356.008,-1358.2,1.696,0.048,0.128,0.16,0.16
38,金士頓,單條32GB,D5-6000/CL30 Lancer黑(AX5U6000C3016G-DCLABK)雙參,-1356.16,-1358.4,1.696,0.096,0.128,0.16,0.16
39,金士頓,16GB,D5-6000/CL30 Lancer白(AX5U6000C3016G-DCLAWH)雙參,-1386.16,-1388.4,1.696,0.096,0.128,0.16,0.16
40,海盜船VENGEANCE,32G(16G*2),D5-6000/CL30 Lancer RGB黑(AX5U6000C3016G-DCLARBK)雙參,-1394.16,-1396.4,1.696,0.096,0.128,0.16,0.16
41,美光 Micron Crucial,單條32GB,D5-6000/CL30 Lancer RGB白(AX5U6000C3016G-DCLARWH)雙參,-1395.96,-1398.2,1.696,0.096,0.128,0.16,0.16
