排名,BRAND,MODEL,總分,Price_分數,Capacity_分數,Read_Speed_分數,Write_Speed_分數,Warranty_分數,Interface_分數,NAND_Type_分數,DRAM_Cache_分數,Heat_Sink_分數,Performance_分數,Reliability_分數,Heat_Risk_分數
1,UMAX,S330 ,-9.692755681818172,-370.21999999999997,0.0581534090909091,170.9090909090909,189.0909090909091,0.014545454545454558,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.03636363636363636,0.05454545454545454,0.07272727272727272
2,威剛,Ultimate SU650,-31.892755681818162,-392.41999999999996,0.0581534090909091,170.9090909090909,189.0909090909091,0.014545454545454558,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.03636363636363636,0.05454545454545454,0.07272727272727272
3,美光,Micron Crucial T710 ,-80.63092329545458,-310.22,0.02907670454545455,120.0,109.09090909090908,0.014545454545454558,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.03636363636363636,0.05454545454545454,0.07272727272727272
4,技嘉,Gen4 4000E,-178.8018465909091,-550.2199999999999,0.0581534090909091,181.8181818181818,189.0909090909091,0.014545454545454558,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.03636363636363636,0.03636363636363636,0.07272727272727272
5,金士頓,A400,-182.0927556818183,-542.62,0.0581534090909091,170.9090909090909,189.0909090909091,0.014545454545454558,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.03636363636363636,0.05454545454545454,0.07272727272727272
6,WD,藍標 SN5000,-191.18366477272735,-562.62,0.0581534090909091,181.8181818181818,189.0909090909091,0.014545454545454558,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.03636363636363636,0.05454545454545454,0.07272727272727272
7,Biwin,佰維 NV3500,-191.89275568181824,-552.42,0.0581534090909091,170.9090909090909,189.0909090909091,0.014545454545454558,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.03636363636363636,0.05454545454545454,0.07272727272727272
8,UMAX,M1350,-217.18366477272724,-588.6199999999999,0.0581534090909091,181.8181818181818,189.0909090909091,0.014545454545454558,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.03636363636363636,0.05454545454545454,0.07272727272727272
9,微星,SPATIUM M560,-249.0036647727274,-620.44,0.0581534090909091,181.8181818181818,189.0909090909091,0.014545454545454558,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.03636363636363636,0.05454545454545454,0.07272727272727272
10,海盜船,Corsair MP700 ELITE ,-249.0036647727274,-620.44,0.0581534090909091,181.8181818181818,189.0909090909091,0.014545454545454558,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.03636363636363636,0.05454545454545454,0.07272727272727272
11,海盜船,Corsair MP700 PRO ,-249.0036647727274,-620.44,0.0581534090909091,181.8181818181818,189.0909090909091,0.014545454545454558,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.03636363636363636,0.05454545454545454,0.07272727272727272
12,海盜船,Corsair MP600 ELITE ,-249.0036647727274,-620.44,0.0581534090909091,181.8181818181818,189.0909090909091,0.014545454545454558,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.03636363636363636,0.05454545454545454,0.07272727272727272
13,海盜船,Corsair MP600 PRO LPX,-249.0036647727274,-620.44,0.0581534090909091,181.8181818181818,189.0909090909091,0.014545454545454558,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.03636363636363636,0.05454545454545454,0.07272727272727272
14,海盜船,Corsair MP600 PRO LPX ,-249.0036647727274,-620.44,0.0581534090909091,181.8181818181818,189.0909090909091,0.014545454545454558,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.03636363636363636,0.05454545454545454,0.07272727272727272
15,美光,Micron Crucial P510 ,-249.0036647727274,-620.44,0.0581534090909091,181.8181818181818,189.0909090909091,0.014545454545454558,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.03636363636363636,0.05454545454545454,0.07272727272727272
16,威剛,ADATA LEGEND 860,-249.0036647727274,-620.44,0.0581534090909091,181.8181818181818,189.0909090909091,0.014545454545454558,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.03636363636363636,0.05454545454545454,0.07272727272727272
17,威剛,ADATA LEGEND 900,-249.0036647727274,-620.44,0.0581534090909091,181.8181818181818,189.0909090909091,0.014545454545454558,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.03636363636363636,0.05454545454545454,0.07272727272727272
18,威剛,XPG S60 PRO,-249.0036647727274,-620.44,0.0581534090909091,181.8181818181818,189.0909090909091,0.014545454545454558,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.03636363636363636,0.05454545454545454,0.07272727272727272
19,金士頓,NV3SM,-249.0036647727274,-620.44,0.0581534090909091,181.8181818181818,189.0909090909091,0.014545454545454558,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.03636363636363636,0.05454545454545454,0.07272727272727272
20,十銓,TEAM MP44L,-249.0036647727274,-620.44,0.0581534090909091,181.8181818181818,189.0909090909091,0.014545454545454558,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.03636363636363636,0.05454545454545454,0.07272727272727272
